dataset,classifier,primary_metric,mean_primary_value,secondary_metric,mean_secondary_value,tertiary_metric,mean_tertiary_value,primary_repeat_values,secondary_repeat_values,tertiary_repeat_values,successful_repeats
rice,logistic_regression,size,8.0,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",[],[],10
rice,svm,size,8.0,n_support_vectors,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",[],[],10
rice,decision_tree,avg_path_features,3.415354,max_path_features,4.5,configured_max_depth,5.0,"[3.779528, 3.375328, 4.103675, 3.867454, 2.203412, 3.497375, 3.845144, 3.577428, 3.489501, 2.414698]","[5.0, 4.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 4.0]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",10
rice,random_forest,n_estimators,180.0,max_depth,5.5,,,"[300.0, 300.0, 300.0, 100.0, 100.0, 100.0, 100.0, 300.0, 100.0, 100.0]","[5.0, 5.0, 10.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",[],10
rice,xgboost,n_estimators,85.0,max_depth,3.2,,,"[200.0, 200.0, 50.0, 50.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]","[3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",[],10
sonar,fcalc,size,9960.0,,,,,"[9960.0, 9960.0, 9960.0, 9960.0, 9960.0, 9960.0, 9960.0, 9960.0, 9960.0, 9960.0]",[],[],10
sonar,fcalc_rand,size,4680.0,num_iters,39.0,,,"[1200.0, 6000.0, 4800.0, 6000.0, 4800.0, 4800.0, 6000.0, 6000.0, 3600.0, 3600.0]","[10.0, 50.0, 40.0, 50.0, 40.0, 40.0, 50.0, 50.0, 30.0, 30.0]",[],10
sonar,ips_knn,avg_rrc_size,4.607143,max_rrc_size,7.9,,,"[4.47619, 4.261905, 4.261905, 4.738095, 5.119048, 4.309524, 4.5, 4.952381, 4.619048, 4.833333]","[7.0, 7.0, 8.0, 9.0, 9.0, 8.0, 7.0, 9.0, 8.0, 7.0]",[],10
sonar,knn,size,90.0,,,,,"[60.0, 60.0, 60.0, 60.0, 180.0, 60.0, 60.0, 240.0, 60.0, 60.0]",[],[],10
sonar,naive_bayes,size,242.0,,,,,"[242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0]",[],[],10
