dataset,classifier,repeat,split_seed,n_train,n_test,n_features,n_classes,best_params,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio,elapsed_seconds,status,error
sonar,xgboost,2,1999,166,42,60,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,5,,,,,,0.0,ok,
sonar,ips_knn,2,1999,166,42,60,2,"{""k"": 1}",avg_rrc_size,4.261904761904762,max_rrc_size,7.0,,,4.261904761904762,7.0,0.07103174603174603,4.348,ok,
sonar,knn,2,1999,166,42,60,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,60,,,,,,,,0.0,ok,
sonar,logistic_regression,2,1999,166,42,60,2,"{""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",size,61,,,,,,,,0.0,ok,
sonar,svm,2,1999,166,42,60,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,118,size,7200,,,,,,0.002,ok,
sonar,decision_tree,2,1999,166,42,60,2,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5}",configured_max_depth,5,max_path_features,5.0,avg_path_features,4.642857142857143,,,,0.002,ok,
sonar,random_forest,2,1999,166,42,60,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",n_estimators,300,max_depth,5,,,,,,0.0,ok,
sonar,fcalc,2,1999,166,42,60,2,"{""cv_f1"": 0.7106396922373008, ""family"": ""proximity"", ""method"": ""proximity""}",size,9960,,,,,,,,0.0,ok,
sonar,fcalc_rand,2,1999,166,42,60,2,"{""cv_f1"": 0.7639110397694189, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 50, ""subsample_size"": 8}",size,6000,num_iters,50,,,,,,0.0,ok,
sonar,naive_bayes,3,2000,166,42,60,2,"{""var_smoothing"": 1e-09}",size,242,,,,,,,,0.0,ok,
sonar,xgboost,3,2000,166,42,60,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
sonar,ips_knn,3,2000,166,42,60,2,"{""k"": 1}",avg_rrc_size,4.261904761904762,max_rrc_size,8.0,,,4.261904761904762,8.0,0.07103174603174603,4.32,ok,
sonar,knn,3,2000,166,42,60,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,60,,,,,,,,0.0,ok,
sonar,logistic_regression,3,2000,166,42,60,2,"{""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}",size,61,,,,,,,,0.0,ok,
