dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,retained_mean,retained_std,retained_ci95,compression_ratio_mean,compression_ratio_std,compression_ratio_ci95,runs,repeat_rows,source,elapsed_seconds_mean
breast_cancer,random_topk,random,9.0,0.5012237322086677,0.0242008110435046,0.0173110145481319,0.5892982456140352,0.0207326231018151,0.014830194719147,0.5012237322086677,0.0242008110435046,0.0173110145481319,0.5561826801551021,0.0213768453483553,0.0152910115348331,9.0,0.0,0.0,0.0197802197802197,3.657118196434065e-18,2.615963001773025e-18,10,50,ranked_lazyfca,
breast_cancer,svm,imported_baseline,,0.9588659412572352,0.0266991210514603,0.0190980737014685,,,,0.9588659412572352,0.0266991210514603,0.0190980737014685,,,,,,,,,,10,10,imported_baseline,0.0873
breast_cancer,xgboost,imported_baseline,,0.9653277162247396,0.0268884156085952,0.0192334774623819,,,,0.9653277162247396,0.0268884156085952,0.0192334774623819,,,,,,,,,,10,10,imported_baseline,0.3017999999999999
ionosphere,decision_tree,imported_baseline,,0.8645135375537562,0.0536048933219177,0.0383439665091652,,,,0.8645135375537562,0.0536048933219177,0.0383439665091652,,,,,,,,,,10,10,imported_baseline,0.1154999999999999
ionosphere,fcalc_deterministic,imported_baseline,,0.6073798445598196,0.1127513893102697,0.0806518813424656,,,,0.6073798445598196,0.1127513893102697,0.0806518813424656,,,,,,,,,,10,10,imported_baseline,9.1624
ionosphere,fcalc_randomized,imported_baseline,,0.7534949418953351,0.0811923138719817,0.0580774472437198,,,,0.7534949418953351,0.0811923138719817,0.0580774472437198,,,,,,,,,,10,10,imported_baseline,16.7306
ionosphere,global_topk,balanced_precision_proxy,5.0,0.437453192297368,0.0487980380262338,0.0349055882744539,0.4661971830985916,0.0384001972707577,0.02746793784763,0.437453192297368,0.0487980380262338,0.0349055882744539,0.4002341195010414,0.057433107967427,0.0410823160340077,5.0,0.0,0.0,0.0178571428571428,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,chi_squared,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,delta_stability,5.0,0.8887017442150625,0.0454445239168735,0.0325067954641574,0.9014084507042252,0.0387146068133114,0.0276928372592833,0.8887017442150625,0.0454445239168735,0.0325067954641574,0.8997748510653233,0.0402054600657071,0.028759255334899,5.0,0.0,0.0,0.0178571428571428,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,description_volume,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,error_rate,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,fn,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,fp,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,g_test,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,gini_gain,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,information_gain,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,interval_tightness,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,lift,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,log_odds_ratio,10.0,0.905238657762388,0.0260151852724763,0.0186088495098207,0.9169014084507042,0.0224666405896815,0.0160705499248138,0.905238657762388,0.0260151852724763,0.0186088495098207,0.915056110108488,0.0231545811476471,0.0165626387637286,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,log_odds_ratio_log_tp,10.0,0.905238657762388,0.0260151852724763,0.0186088495098207,0.9169014084507042,0.0224666405896815,0.0160705499248138,0.905238657762388,0.0260151852724763,0.0186088495098207,0.915056110108488,0.0231545811476471,0.0165626387637286,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,matthews_correlation,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,precision,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,precision_log_tp,10.0,0.905238657762388,0.0260151852724763,0.0186088495098207,0.9169014084507042,0.0224666405896815,0.0160705499248138,0.905238657762388,0.0260151852724763,0.0186088495098207,0.915056110108488,0.0231545811476471,0.0165626387637286,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,precision_sqrt_tp,10.0,0.905238657762388,0.0260151852724763,0.0186088495098207,0.9169014084507042,0.0224666405896815,0.0160705499248138,0.905238657762388,0.0260151852724763,0.0186088495098207,0.915056110108488,0.0231545811476471,0.0165626387637286,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,query_binary_similarity,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,query_numeric_similarity,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,query_similarity,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,query_weighted_log_odds_ratio,10.0,0.9087164887308072,0.0241788868123103,0.0172953319875566,0.919718309859155,0.0210483678605257,0.01505604922054,0.9087164887308072,0.0241788868123103,0.0172953319875566,0.9180769370409768,0.0215919091263114,0.0154448482051116,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,query_weighted_log_odds_ratio_log_tp,10.0,0.9069699575660138,0.0240101241177015,0.0171746148158757,0.9183098591549296,0.0207849235879612,0.0148676056338028,0.9069699575660138,0.0240101241177015,0.0171746148158757,0.9165607319123754,0.0213896416472601,0.0153001648196591,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,query_weighted_precision,1.0,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.9140845070422536,0.0224666405896815,0.0160705499248138,0.9003024918462778,0.0282021775962375,0.0201732208800705,0.911232035720822,0.0243782022119858,0.0174379037293568,1.0,0.0,0.0,0.0035714285714285,4.571397745542582e-19,3.2699537522162814e-19,10,10,ranked_lazyfca,
ionosphere,global_topk,query_weighted_precision_log_tp,10.0,0.9087164887308072,0.0241788868123103,0.0172953319875566,0.919718309859155,0.0210483678605257,0.01505604922054,0.9087164887308072,0.0241788868123103,0.0172953319875566,0.9180769370409768,0.0215919091263114,0.0154448482051116,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,query_weighted_precision_sqrt_tp,10.0,0.9054893023089792,0.0247801333849876,0.0177254079940144,0.9169014084507044,0.0214631538979576,0.015352748662366,0.9054893023089792,0.0247801333849876,0.0177254079940144,0.9151873032006254,0.0220787612055709,0.0157930970060175,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
ionosphere,global_topk,query_weighted_wracc,213.0,0.3931623931623931,0.0,0.0,0.647887323943662,0.0,0.0,0.3931623931623931,0.0,0.0,0.5094498615625376,0.0,0.0,213.0,0.0,0.0,0.7607142857142858,1.1702778228589004e-16,8.37108160567368e-17,10,10,ranked_lazyfca,
ionosphere,global_topk,robustness,10.0,0.902673780690988,0.0287259052192871,0.0205478470232015,0.9140845070422534,0.0252388357853814,0.0180535211267605,0.902673780690988,0.0287259052192871,0.0205478470232015,0.9125090824943898,0.02574771405387,0.0184175254195588,10.0,0.0,0.0,0.0357142857142857,0.0,0.0,10,10,ranked_lazyfca,
