dataset,method,metric,best_k,best_primary_f1_mean,best_primary_f1_ci95,best_retained_mean,best_retained_ci95,best_compression_ratio_mean,best_compression_ratio_ci95,smallest_k_within_1pct,primary_f1_within_1pct,smallest_k_within_3pct,primary_f1_within_3pct,smallest_k_within_5pct,primary_f1_within_5pct
sonar,random_topk,random,9,0.516647989752614,0.0216872826582792,9.0,0.0,0.0542168674698795,0.0,9,0.516647989752614,1,0.5050331783212061,1,0.5050331783212061
spambase,global_topk,balanced_precision_proxy,2869,0.7866480284333102,0.0232855600876989,2869.0,0.0,0.7796195652173913,0.0,2869,0.7866480284333102,2869,0.7866480284333102,2869,0.7866480284333102
spambase,global_topk,chi_squared,2869,0.801855214299293,0.0108892577534432,2869.0,0.0,0.7796195652173913,0.0,2869,0.801855214299293,2869,0.801855214299293,2869,0.801855214299293
spambase,global_topk,delta_stability,826,0.6236967289103709,0.013564267750864,826.0,0.0,0.2244565217391304,2.09277040141842e-17,826,0.6236967289103709,644,0.6057890556169581,644,0.6057890556169581
spambase,global_topk,description_volume,5,0.9085082521478788,0.0053926877726721,5.0,0.0,0.0013586956521739,0.0,1,0.9028925866089093,1,0.9028925866089093,1,0.9028925866089093
spambase,global_topk,error_rate,5,0.912803044963444,0.0057577520400815,5.0,0.0,0.0013586956521739,0.0,3,0.9093105731225188,1,0.9027839256709674,1,0.9027839256709674
spambase,global_topk,fn,3680,0.3772819472616633,0.0,3680.0,0.0,1.0,0.0,3680,0.3772819472616633,3680,0.3772819472616633,3680,0.3772819472616633
spambase,global_topk,fp,5,0.912803044963444,0.0057577520400815,5.0,0.0,0.0013586956521739,0.0,3,0.9093105731225188,1,0.9027839256709674,1,0.9027839256709674
spambase,global_topk,g_test,2869,0.7859858460755713,0.0252055582273523,2869.0,0.0,0.7796195652173913,0.0,2869,0.7859858460755713,2869,0.7859858460755713,2869,0.7859858460755713
spambase,global_topk,gini_gain,2869,0.8016198697565574,0.0109671071184327,2869.0,0.0,0.7796195652173913,0.0,2869,0.8016198697565574,2869,0.8016198697565574,2869,0.8016198697565574
spambase,global_topk,information_gain,2869,0.7859858460755713,0.0252055582273523,2869.0,0.0,0.7796195652173913,0.0,2869,0.7859858460755713,2869,0.7859858460755713,2869,0.7859858460755713
spambase,global_topk,interval_tightness,6,0.9155000324115014,0.0029698631830967,6.0,0.0,0.0016304347826086,0.0,4,0.9112520256092768,1,0.9028925866089093,1,0.9028925866089093
spambase,global_topk,lift,2869,0.7473282666940396,0.0400910788065622,2869.0,0.0,0.7796195652173913,0.0,2869,0.7473282666940396,2869,0.7473282666940396,2869,0.7473282666940396
spambase,global_topk,log_odds_ratio,1360,0.631956048328376,0.0076387573573731,1360.0,0.0,0.3695652173913043,0.0,1360,0.631956048328376,1060,0.6149771655410302,1060,0.6149771655410302
spambase,global_topk,log_odds_ratio_log_tp,1360,0.6070335656090201,0.0085308274509567,1360.0,0.0,0.3695652173913043,0.0,1360,0.6070335656090201,1360,0.6070335656090201,1060,0.5869634439190057
spambase,global_topk,matthews_correlation,2869,0.7689173174332253,0.0333536674938911,2869.0,0.0,0.7796195652173913,0.0,2869,0.7689173174332253,2869,0.7689173174332253,2869,0.7689173174332253
