dataset,classifier,repeat,split_seed,macro_f1,macro_f1_percent,cv_macro_f1,best_params,elapsed_seconds,status,error
spam,ips_knn,9,2006,0.8954204804644688,89.54204804644688,0.9092619517726044,"{""k"": 4}",487.79,ok,
spam,ips_knn,10,2007,0.9247549019607844,92.47549019607844,0.910867980209054,"{""k"": 10}",486.833,ok,
spam,knn,1,1998,0.9219950378142469,92.19950378142468,0.9167039963907988,"{""n_neighbors"": 10, ""weights"": ""distance""}",2.534,ok,
spam,knn,2,1999,0.921216178521618,92.1216178521618,0.9153402746933308,"{""n_neighbors"": 10, ""weights"": ""distance""}",2.802,ok,
spam,knn,3,2000,0.9133541295306,91.33541295306,0.9155246495119412,"{""n_neighbors"": 12, ""weights"": ""distance""}",2.597,ok,
spam,knn,4,2001,0.9190946759691724,91.90946759691724,0.9137896074199114,"{""n_neighbors"": 8, ""weights"": ""distance""}",2.419,ok,
spam,knn,5,2002,0.9325655710748876,93.25655710748876,0.912732464209084,"{""n_neighbors"": 18, ""weights"": ""distance""}",2.395,ok,
spam,knn,6,2003,0.9106181257154232,91.06181257154232,0.9163756793059872,"{""n_neighbors"": 10, ""weights"": ""distance""}",2.382,ok,
spam,knn,7,2004,0.9324962079661904,93.24962079661904,0.9137568872698985,"{""n_neighbors"": 12, ""weights"": ""distance""}",2.402,ok,
spam,knn,8,2005,0.909424534138681,90.9424534138681,0.917354614135383,"{""n_neighbors"": 14, ""weights"": ""distance""}",2.413,ok,
spam,knn,9,2006,0.8968983770391575,89.68983770391576,0.909658989862079,"{""n_neighbors"": 3, ""weights"": ""distance""}",2.379,ok,
spam,knn,10,2007,0.9224747474747474,92.24747474747474,0.9133886684914966,"{""n_neighbors"": 15, ""weights"": ""distance""}",2.401,ok,
spam,logistic_regression,1,1998,0.9299877250154216,92.99877250154216,0.9222886870242036,"{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}",2.779,ok,
spam,logistic_regression,2,1999,0.9291003635496752,92.91003635496752,0.9191973087800134,"{""C"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear""}",2.959,ok,
spam,logistic_regression,3,2000,0.9174936545065446,91.74936545065448,0.9202034733317492,"{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}",1.952,ok,
spam,logistic_regression,4,2001,0.9253967561639738,92.53967561639736,0.9235745652283632,"{""C"": 10, ""penalty"": ""l1"", ""solver"": ""liblinear""}",3.103,ok,
spam,logistic_regression,5,2002,0.9197854974369184,91.97854974369184,0.919123899946273,"{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}",1.868,ok,
spam,logistic_regression,6,2003,0.9031415134842208,90.31415134842209,0.9307157884432742,"{""C"": 10000, ""penalty"": ""l2"", ""solver"": ""liblinear""}",2.238,ok,
spam,logistic_regression,7,2004,0.9265052068786658,92.65052068786656,0.9220215448269864,"{""C"": 10, ""penalty"": ""l1"", ""solver"": ""liblinear""}",3.072,ok,
spam,logistic_regression,8,2005,0.9194406957564852,91.94406957564853,0.9210746051762572,"{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}",3.008,ok,
spam,logistic_regression,9,2006,0.9311720921890414,93.11720921890414,0.9203773047138272,"{""C"": 10, ""penalty"": ""l1"", ""solver"": ""liblinear""}",3.892,ok,
spam,logistic_regression,10,2007,0.9260046203078476,92.60046203078474,0.9253224012953184,"{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}",2.577,ok,
spam,svm,1,1998,0.935895396241424,93.5895396241424,0.9263787950717932,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",2.564,ok,
spam,svm,2,1999,0.9396058848783964,93.96058848783964,0.9273723663198566,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",2.261,ok,
spam,svm,3,2000,0.9359616186900293,93.59616186900293,0.9289610777815642,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.771,ok,
spam,svm,4,2001,0.9303505346350534,93.03505346350534,0.9261700255639276,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",2.059,ok,
spam,svm,5,2002,0.9219950378142469,92.19950378142468,0.927882815592546,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.582,ok,
spam,svm,6,2003,0.9134398496240602,91.34398496240604,0.9310786107260534,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",2.74,ok,
spam,svm,7,2004,0.93346635578274,93.346635578274,0.9260862560753724,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",2.918,ok,
spam,svm,8,2005,0.9303505346350534,93.03505346350534,0.9284838977423158,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.493,ok,
spam,svm,9,2006,0.9282107688177166,92.82107688177166,0.9278740188865428,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",2.024,ok,
spam,svm,10,2007,0.926583565001644,92.6583565001644,0.9292321645558206,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.564,ok,
spam,decision_tree,1,1998,0.9120818224081824,91.20818224081825,0.9161696005873358,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.319,ok,
spam,decision_tree,2,1999,0.9271072417886822,92.71072417886822,0.9123076246770878,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.341,ok,
spam,decision_tree,3,2000,0.9192623279299498,91.92623279299498,0.915212924880317,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.329,ok,
spam,decision_tree,4,2001,0.9170582466182666,91.70582466182668,0.909580985028182,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.319,ok,
spam,decision_tree,5,2002,0.92310127173825,92.310127173825,0.9185194188621736,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.33,ok,
spam,decision_tree,6,2003,0.9223971292340328,92.23971292340327,0.914473708641622,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.321,ok,
spam,decision_tree,7,2004,0.9351748834624763,93.51748834624765,0.9096630134845648,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.317,ok,
spam,decision_tree,8,2005,0.9163915283513712,91.63915283513712,0.916996209700548,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.316,ok,
